,Item,Reg_Price,Sale_Price,Size,Unit_Size,Image,Category,Subcategory
44,Pepperidge Farm Swirl Bread Raisin Cinnamon,$3.99 ,,16 oz pkg, | $0.25 / oz,./Bread_Bakery_Packaged_Bread_files/J27N5.jpg,Bread_Bakery,Packaged_Bread
45,Arnold Whole Grains Bread 100% Whole Wheat,$4.69 ,,24 oz pkg, | $0.20 / oz,./Bread_Bakery_Packaged_Bread_files/0VNT8.jpg,Bread_Bakery,Packaged_Bread
46,Pepperidge Farm Farmhouse Bread Hearty White,$3.99 ,,24 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/L1EPS.jpg,Bread_Bakery,Packaged_Bread
47,J.J. Nissen Bread Canadian White,$3.49 ,,22 oz pkg, | $0.16 / oz,./Bread_Bakery_Packaged_Bread_files/T3TLZ.jpg,Bread_Bakery,Packaged_Bread
48,Arnold Country Bread White,$4.29 ,,24 oz pkg, | $0.18 / oz,./Bread_Bakery_Packaged_Bread_files/ZZYAW.jpg,Bread_Bakery,Packaged_Bread
49,Wonder Bread Classic White,$2.99 ,,20 oz pkg, | $0.15 / oz,./Bread_Bakery_Packaged_Bread_files/B06WD.jpg,Bread_Bakery,Packaged_Bread
50,Home Pride Bread Butter Top Wheat,$3.99 ,,20 oz pkg, | $0.20 / oz,./Bread_Bakery_Packaged_Bread_files/A58SR.jpg,Bread_Bakery,Packaged_Bread
51,Pepperidge Farm Swirl Bread Cinnamon,$3.99 ,,16 oz pkg, | $0.25 / oz,./Bread_Bakery_Packaged_Bread_files/8CU76.jpg,Bread_Bakery,Packaged_Bread
52,Pepperidge Farm Bread White Italian,,$2.50 ,20 oz pkg, | $0.13 / oz,./Bread_Bakery_Packaged_Bread_files/F6NNL.jpg,Bread_Bakery,Packaged_Bread
53,Martin's Sandwich Bread Potato,$3.79 ,,18 oz pkg, | $0.21 / oz,./Bread_Bakery_Packaged_Bread_files/4I7PS.jpg,Bread_Bakery,Packaged_Bread
54,Sara Lee 100% Whole Wheat Bread,$2.99 ,,20 oz pkg, | $0.15 / oz,./Bread_Bakery_Packaged_Bread_files/VCK1I.jpg,Bread_Bakery,Packaged_Bread
