mCode,mTitle,mUPC,mBrand,mIngredients,mNutrients,mPhoto,CurrUPC,ProductName,BrandName,ProductDesc,ProductScore,Subcatecory,Category
200,Concord Grape Spread,41800501694,Welch's,"CONCORD GRAPES, SUGAR, FRUIT PECTIN, CITRIC ACID, SODIUM CITRATE","30 cal, 0 total fat, None saturated fat, None cholesterol, 15 sodium, 8 carbs, None fiber, 0 protein",https://d1r9wva3zcpswd.cloudfront.net/5965cb8bfda501dd0e4655ae.jpeg,41800501694,Grape Spread,Welch's,"Grape Spread, Natural Concord",38,"Jams, Syrup, & Honey",Spreads dips
404,NA,NA,NA,NA,NA,NA,3003410263,Flour,Giant Eagle,"Flour, All Purpose",80,"Flour, Meal, & Starch",Baking ingredients
200,"Temptations Pie Snacks, Lemon Meringue Pie",43000050842,Jell-O Ready to Eat,"Water, Sugar, Modified Cornstarch, Contains Less Than 2% of Gelatin, Cornstarch, Hydrogenated Coconut And Palm Kernel Oil, Fumaric Acid (For Tartness), Salt, Sucrose Fatty Acid Esters, Sodium Citrate (Controls Tartness), Lemon Oil, Sucralose, Acesulfame Potassium Natural And Artificial Flavor, Artificial Color, Yellow 5, Yellow 6., BHA (Preservative).","80 cal, 1.5 total fat, 1.5 saturated fat, 0 cholesterol, 100 sodium, 17 carbs, 0 fiber, 0.5 protein",https://d1r9wva3zcpswd.cloudfront.net/536acd4ec3cba98a306afc63.jpeg,43000050842,Temptations by JELL-O Lemon Meringue Pie Snacks,,,2,Pudding & Gelatin,Desserts
200,Lemonade,25000100611,Simply Eight,"CONTAINS PURE FILTERED WATER, LEMON JUICE, SUGAR, STEVIA LEAF EXTRACT, NATURAL FLAVORS.","25 cal, 0 total fat, None saturated fat, None cholesterol, 15 sodium, 7 carbs, None fiber, 0 protein",https://d1r9wva3zcpswd.cloudfront.net/5aae100380a72969559cc038.jpeg,25000100611,Lemonade,Simply,Light Lemonade,40,Fruit Juice,Drinks
200,Free Range Chicken Broth,11110876911,Simple Truth Organic,"FILTERED WATER, ORGANIC CHICKEN FLAVOR, SEA SALT, ORGANIC ONION POWDER, ORGANIC NATURAL FLAVOR, YEAST EXTRACT, ORGANIC GARLIC POWDER, ORGANIC TURMERIC, NATURAL FLAVOR.","5 cal, 0 total fat, 0 saturated fat, 2 cholesterol, 550 sodium, 0 carbs, 0 fiber, 0.5 protein",https://d1r9wva3zcpswd.cloudfront.net/56989fb5bd869a0412863687.jpeg,11110876911,Broth,Simple Truth,"Broth, Fat Free, Free Range Chicken",17,Soups & Broths,Prepared meals
404,NA,NA,NA,NA,NA,NA,71537920987,Seltzer,Polar,"Seltzer, Variety Pack",100,Unsweetened Water,Coffee tea water
200,Pizza Dough,41268188758,Hannaford,"HIGH GLUTEN FLOUR, WATER, SALT, YEAST.","120 cal, 0 total fat, 0 saturated fat, 0 cholesterol, 170 sodium, 24 carbs, 1 fiber, 5 protein",https://d1r9wva3zcpswd.cloudfront.net/554a70496024724123457cd1.jpeg,41268188758,Hannaford Pizza Dough 18 oz,Hannaford Supermarkets,Hannaford Pizza Dough 18 oz,57,Bread Products,Grains
200,Rib Shaped Patty,31000007386,Banquet,"Barbeque Sauce And Pork Patty[Rib Shaped Pork Patty[Pork, Water, Potato Starch[Water, Modified Food Starch], Fortified Soy Protein Concentrate[Soy Protein Concentrate, Zinc Oxide, Niacinamide, Ferrous Sulfate, Copper Gluconate, Vitamin A Palmitate, Calcium Pantothenate, Thiamine Mononitrate[B1], Pyridoxine Hydrochloride[B6], & Cyanocobalamin[B12], Dextrose, Brown Sugar, Natural Mesquite Smoke, Salt, Paprika, Sodium Tripolyphosphate, Spices, Rosemary Extract[Contains Vegetable Oil, Mono-And Diglycerides, Soy Lecithin]Caramel Color], Water, Tomato Paste, Corn Syrup Solids, Brown Sugar, Cider Vinegar, Contains 2% Or Less Of: Dry Molasses[Molasses, Wheat Starch, Calcium Stearate, Soy Flour, Hydroxylated Lecithin], Modified Food Starch, Liquid Mesquite Smoke Flavor, Salt, Flavoring, Spice, Caramel Color], Mashed Potatoes[Water, Dehydrated Potatoes[Potatoes, Mono-And Diglycerides From Vegetable Oil, Disodium Dihydrogen Pyrophosphate, Sodium Acid Pyrophosphate, Sodium Bisulfite, Citric Acid, BHT], Soybean Oil, Salt, Whey Protein Concentrate, Butter Flavor[Partially Hydrogenated Soybean Oil, Flavor[Butter Oil, Enzyme Modified Butterfat, Sweet Whey Powder, Milk Powder]Soy Lecithin], Oleoresin Of Black Pepper[Salt, Natural Flavor, Silicone Dioxide], Corn, Sweet Water[Water, Sugar]. Contains: Wheat, Milk, Soy.","370 cal, 14 total fat, 4.5 saturated fat, 50 cholesterol, 1100 sodium, 45 carbs, 6 fiber, 15 protein",https://d1r9wva3zcpswd.cloudfront.net/562502e0942a11e248408d24.jpeg,31000007386,Pork,Banquet,BBQ Pork Rib,15,Meals & Entrees,Prepared meals
200,"Five Cheese Pizza, Cheese Stuffed Crust",71921206161,DiGiorno,"Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Water, Part-Skim Mozzarella Cheese With Modified Food Starch (Part-Skim Mozzarella Cheese [Milk, Cheese Cultures, Salt, Enzymes], Modified Food Starch, Methylcellulose), Cheese Blend (Mozzarella Cheese [Milk, Cheese Cultures, Salt, Enzymes], Modified Food Starch, Flavor, Nonfat Milk, Whey Protein Concentrate, Cheddar Cheese [Milk, Cheese Cultures, Salt, Enzymes]), Low-Moisture Part-Skim Mozzarella Cheese (Part-Skim Milk, Cheese Culture, Salt, Enzymes), Tomato Paste, White Cheddar Cheese (Milk, Cheese Cultures, Salt, Enzymes), Sugar, Contains Less Than 2% of Wheat Gluten, Vegetable Oil (Soybean Oil And/Or Corn Oil), Corn Meal, Parmesan, Asiago, And Romano Cheeses Made from Cow''s Milk (Part-Skim Milk, Cheese Culture, Salt, Enzymes), Salt, Baking Powder (Baking Soda, Sodium Aluminum Phosphate), Yeast, Seasoning Blend (Salt, Spice, Dried Garlic), Sodium Stearoyl Lactylate, Ascorbic Acid. Contains: Milk, Wheat Ingredients.","310 cal, 15 total fat, 9 saturated fat, 40 cholesterol, 650 sodium, 29 carbs, 1 fiber, 15 protein",https://d1r9wva3zcpswd.cloudfront.net/57c3de787c64da5662c1da2a.jpeg,71921206161,Pizza,DiGiorno,Cheese Stuffed Crust Five Cheese Pizza,22,Meals & Entrees,Prepared meals
404,NA,NA,NA,NA,NA,NA,60699101045,Ciabatta With Oil,Chabaso Bakery,"Ciabatta With Oil, Olive ",36,Pasta & Noodles,Grains
