mCode,mTitle,mUPC,mDesc,mBrand,mCurr,mLowest,mHighest,mImages,CurrUPC,ProductName,BrandName,ProductDesc,ProductScore,Subcatecory,Category
0815652004180,NA,NA,NA,NA,NA,NA,NA,NA,815652004180,Eggs,Nellies,"Eggs, Free Range, Brown, Large",90,Eggs & Substitutes,Dairy and eggs
0041268190058,NA,NA,NA,NA,NA,NA,NA,NA,041268190058,Celery,Hannaford,Celery Hearts Cold Water Washed,100,Fresh,Produce
0688267097676,NA,NA,NA,NA,NA,NA,NA,NA,688267097676,Cavatappi,Stop & Shop Brand,Cavatappi,21,Breakfast Cereals,Grains
003582609519,NA,NA,NA,NA,NA,NA,NA,NA,003582609519,Sugar,Food Town Stores,Sugar,5,Sugar & Sweeteners,Baking ingredients
000000003053,NA,NA,NA,NA,NA,NA,NA,NA,000000003053,PARSNIP,,PARSNIP,100,Fresh,Produce
0043301611643,NA,NA,NA,NA,NA,NA,NA,NA,043301611643,French Fries,Grown In Idaho,"French Fries, Hand Cut Style",32,Appetizers & Sides,Prepared meals
0030771094632,NA,NA,NA,NA,NA,NA,NA,NA,030771094632,Bacon,AL Fresco,Original Uncured Chicken Bacon,55,Chicken & Poultry,Meats
0078742228037,NA,NA,NA,NA,NA,NA,NA,NA,078742228037,Sugar,Great Value,Pure Sugar,10,Sugar & Sweeteners,Baking ingredients
0020662006028,NA,NA,NA,NA,NA,NA,NA,NA,020662006028,Pizza,Newman's Own,Thin & Crispy Supreme Pizza,23,Meals & Entrees,Prepared meals
0041735043504,NA,NA,NA,NA,NA,NA,NA,NA,041735043504,Eggs,Pics,Large Grade A Eggs,90,Eggs & Substitutes,Dairy and eggs
0024300045028,NA,NA,NA,NA,NA,NA,NA,NA,024300045028,Cakes ,Little Debbie,"Cakes, Turtle Brownies",0,Pastries,Desserts
0857777004683,NA,NA,NA,NA,NA,NA,NA,NA,857777004683,Protein Bar,RXBar,Peanut Butter Chocolate Protein Bar,44,Snack Bars & Meal Substitutes,Snacks
0020685001642,NA,NA,NA,NA,NA,NA,NA,NA,020685001642,Chips,Cape Cod,"Kettle Cooked Potato Chips, Original",55,"Chips, Puffs, & Snack Mix",Snacks
0815652002209,NA,NA,NA,NA,NA,NA,NA,NA,815652002209,Eggs,Pete And Gerry's,Large Organic Eggs,90,Eggs & Substitutes,Dairy and eggs
0012000172526,NA,NA,NA,NA,NA,NA,NA,NA,012000172526,Soda,Pepsi,Diet Pepsi ,1,Soda,Drinks
0028000394257,NA,NA,NA,NA,NA,NA,NA,NA,028000394257,Chocolate,Toll House,"Chocolate, Dark, Morsels",48,Cocoa & Chocolate,Baking ingredients
002900001604,NA,NA,NA,NA,NA,NA,NA,NA,002900001604,Cashews,Nabisco Food Company,"Cashews, Lovers Mix",80,Nuts & Seeds,Legumes and nuts
0011110971395,NA,NA,NA,NA,NA,NA,NA,NA,011110971395,Beef,Private Selection,Angus Ground Beef 80% Lean,37,Beef & Veal,Meats
0688267108853,NA,NA,NA,NA,NA,NA,NA,NA,688267108853,Mandarins,Stop & Shop,Fresh Mandarins,100,Fresh,Produce
0039400015901,NA,NA,NA,NA,NA,NA,NA,NA,039400015901,"Baked Beans, Homestyle",Bush's Best,"Baked Beans, Homestyle",32,Nuts & Seeds,Legumes and nuts
004133536378,NA,NA,NA,NA,NA,NA,NA,NA,004133536378,Salad Dressing,Ken's,Italian Vinaigrette Italian Dressing,63,Salad Dressing,Oil vinegar dressing
087744800162,NA,NA,NA,NA,NA,NA,NA,NA,087744800162,Pesto,Rana,"Pesto, Basil",45,"Condiments (ketchup, mustard, & mayonnaise)",Condiments
007490836021,NA,NA,NA,NA,NA,NA,NA,NA,007490836021,Pizza Sauce,Del Grosso,Pizza Sauce,18,"Sauces, Gravies, & Marinade",Condiments
0643126072065,NA,NA,NA,NA,NA,NA,NA,NA,643126072065,Pineapple,Dole,Pineapple,100,Fresh,Produce
0629307042546,NA,NA,NA,NA,NA,NA,NA,NA,629307042546,Fresh Creamer Potatoes,Dynamic Duo,Fresh Creamer Potatoes,75,Appetizers & Sides,Prepared meals
0709351301452,NA,NA,NA,NA,NA,NA,NA,NA,709351301452,Green Beans,Eat Smart,Green Beans,100,Frozen,Produce
0022000014757,NA,NA,NA,NA,NA,NA,NA,NA,022000014757,Gum ,Orbit,"Sugarfree Gum, Bubblemint ",25,Gum & Mints,Desserts
000000003324,NA,NA,NA,NA,NA,NA,NA,NA,000000003324,ESCAROLE/BATAVIAN CHICORY,,ESCAROLE/BATAVIAN CHICORY,100,Fresh,Produce
000000003097,NA,NA,NA,NA,NA,NA,NA,NA,000000003097,ROMAINE LETTUCE,,ROMAINE LETTUCE,100,Fresh,Produce
0815652002346,NA,NA,NA,NA,NA,NA,NA,NA,00815652002346A,Eggs,Pete and Gerry's,"Eggs, Organic, Free Range, Extra Large",90,Eggs & Substitutes,Dairy and eggs
0021000060672,NA,NA,NA,NA,NA,NA,NA,NA,021000060672,Macaroni,Cracker Barrel,Macaroni & Cheese Dinner Sharp Cheddar,70,Bread Products,Grains
0075720904525,NA,NA,NA,NA,NA,NA,NA,NA,075720904525,Water,Poland Spring,Water,100,Unsweetened Water,Coffee tea water
003400003078,NA,NA,NA,NA,NA,NA,NA,NA,003400003078,Chocolate,York,"Chocolate, Dark, Covered Peppermint Patties",6,"Cookies, Candy, & Chocolate",Desserts
0051000224644,NA,NA,NA,NA,NA,NA,NA,NA,051000224644,Broth,Swanson,"Broth, Unsalted Beef Flavored",60,Soups & Broths,Prepared meals
0051000065698,NA,NA,NA,NA,NA,NA,NA,NA,051000065698,Soup,Campbells,"Soup, Condensed, Cream of Celery",48,Soups & Broths,Prepared meals
